CP-KM-42095_HYR20200408(2)=2.4 ug_ISD=5 ng_45%_2,SAA1g (RS-),SAA1a (RS-),SAA2a (R-),SAA1g (R-),SAAU2 (R-),SAA1a (R-),SAA2a,SAA1g,SAA1a,bin3,bin10,bin16,bin51,bin55,,ISD,MAD1,MAD2,Total_SAA,,,,,,,,,,
,11412.7,11440.3,11473.5,11499.1,11512.4,11527.1,11630.1,11654.9,11683.4,11425.4,11459.7,11483.3,11640,11668.8,,12360.2,5.9304,0.04710994,2.836638704,,,,,,,,,,
,0.1,0.2,0.1,0.4,0.2,0.6,0.2,0.4,1,0.1,0.1,0.2,0.2,0.4,,690.8130594,,,,,,,,,,,,,
CP-KM-42110_HYR20200408(2)=2.4 ug_ISD=5 ng_45%_1,SAAU2 (R-),SAA1a (R-),SAA1a,bin55,,ISD,MAD1,MAD2,Total_SAA,,,,,,,,,,,,,,,,,,,,
,11511.6,11527.1,11683.5,11668.8,,12360.2,4.4478,0.008118892,0.107861317,,,,,,,,,,,,,,,,,,,,
,0.6,1,0.8,0.4,,1139.666024,,,,,,,,,,,,,,,,,,,,,,,
CP-KM-42110_HYR20200408(2)=2.4 ug_ISD=5 ng_45%_2,SAAU2 (R-),SAA1a (R-),SAA1a,bin55,,ISD,MAD1,MAD2,Total_SAA,,,,,,,,,,,,,,,,,,,,
,11512.3,11527.1,11683.5,11669.8,,12360.2,2.9652,0.009787612,0.123741303,,,,,,,,,,,,,,,,,,,,
,0.6,1,0.8,0.6,,687.6496573,,,,,,,,,,,,,,,,,,,,,,,
CP-KM-42118_HYR20200408(2)=2.4 ug_ISD=5 ng_45%_1,SAA2a (RS-),SAA1g (RS-),SAA1a (RS-),SAA2a (R-),SAA1g (R-),SAAU2 (R-),SAA1a (R-),SAA2a,SAA1a,bin3,bin10,bin54,bin55,bin61,bin65,,ISD,MAD1,MAD2,Total_SAA,,,,,,,,,
,11387,11409.2,11440.3,11473.3,11498.2,11512.4,11527.1,11629.7,11683.8,11425.4,11461.9,11653.1,11668.5,11705.7,11721.1,,12360.2,8.8956,0.091715356,9.850839888,,,,,,,,,
,0.1,0.1,0.1,0.1,0.1,0.2,0.6,0.1,1,0.1,0.1,0.2,0.4,0.1,0.1,,1238.11,,,,,,,,,,,,
